name,description,price,image
Cold Shoulder Sweater,Fine knit sweater,29.99,coldshouldersweater.jpeg
Dinosaur Sweater,Cute embroidered sweater,49.99,dinosweater.jpeg
Fountain Pen Ink,For custom pens and fountain pens,10.99,fountainink.jpeg
Frilly Sleeve Sweater,Frilly full-sleeved sweater,19.99,frillysweater.jpeg
Frixion Pens,Frixion Erasable pastel pens,15.99,frixionpens.jpeg
Men's Life Vest,Lifesaving mens' deck vest,99.99,lifevest.jpg
Humorous Sailing Shirt,Humorous men's t-shirt,19.99,oldsailorshirt.jpeg
Pencil Cases,Pencil cases in a variety of sizes and colors,29.99,pencilcases.jpeg
Penguin Paper Clips,Whimsical clips in the shape of penguins,4.99,penguinclips.jpeg
Men's Homemade Sweater,Men's sweater with handmade crochet look,69.99,perledsweater.jpeg
RTP Sailing Bag,High-end sailing back heavy duty,320.95,rtpsailingbag.jpg
Unisex Sailing Coveralls,Sturdy sailing coveralls for bad weather,199.99,sailingcoveralls.png
Sailing Gloves,Men's sailing gloves made from sustainable materials,100,sailinggloves.jpeg
High End Sailing Jacket,Tommy Hilfiger high-end sailing jacket,599.99,sailingjacket.jpg
High End Sailing Watch,"High end sailing watch, durable materials, full warranty",1099.99,sailingwatch.jpg
Sakura Jelly Pens,High quality quick-drying gel pens,11.99,sakurajelly.jpeg
Hand Crafted Sextant,"Hand crafted high end traditional sextant using quality materials and master craftsmanship, made in England",2399.99,sextant.jpg
Bird Sticky Tabs,Cute and adorable stationary friends!,9.99,stickymarkers.jpeg
Washi Tape,Crafting in many different colors,4.99,washitape.jpeg
Zebra Midliner Pens,Quality midline soft pens with highlighters in many colors,12.99,zebramidliner.jpeg
